SUPPLIER,Mechanical/Electrical,SUPPLIER PART#,8-DIGIT,DESCRIPTION,FROM PROJECT:,DATE,Cycle Count Date,QTY, NET PRICE , TOTAL ,LOCATION
SWAGELOK,Mechanical,S04465179B,,MALE ADAPTER 1/2 TUBE X 3/8 MALE PIPE,,4/24/2023,,10,, $-   ,R2-3-1
AB,Electrical,855T-ABCAP,,,,4/24/2023,,1,$6 ,$6 ,R2-3-1
AB,Electrical,1942-SPM1C040,,,,4/24/2023,,1, bad Part? , $-   ,R3-5-3
AB,Electrical,1489-M1C010,,,,4/24/2023,,1,$42 ,$42 ,R3-5-3
EATON,Electrical,CC600V 30A,,FUSE HOLDER,,4/24/2023,,1, bad Part? , $-   ,R3-5-3
,,,,,,,,,,,
AB,Electrical,1734-OE4C   SER C,,,,4/24/2023,,1,$595 ,$595 ,R2-5-2
AB,Electrical,1734-IE8C  SER C,,,,4/24/2023,,1,$980 ,$980 ,R2-5-2
AB,Electrical,700-HLT12,,,,4/24/2023,,2, Bad Part? , $-   ,R2-5-2
EATON,Electrical,MDL-2-R,,FUSES,,4/24/2023,,10,$2 ,$16 ,R2-5-2
HTM,Electrical,Z-FS3KAV085,,CABLES,,4/24/2023,,3,, $-   ,R5-4-1
HTM,Electrical,R-FS5TZV075,,CABLES,,4/24/2023,,3,, $-   ,R5-4-1
,Mechanical,213918,,21MP-2 1/2 X 2 1/2-316L-7 ADAPTER,,4/24/2023,,2, Bad Part? , $-   ,R5-4-1
AB,Electrical,1494U-LA36,,,,4/24/2023,,1,3.34,$3 ,R5-4-1
,Mechanical,240982,,L32-3X2-316L-7 TUBE ADAPTER,,4/24/2023,,1, Bad Part? , $-   ,R5-4-1
AB,Electrical,1494U-PB31,,,,4/24/2023,,2,$8 ,$17 ,R5-4-2
SMC,Electrical,KQG2E11-N03,,,,4/24/2023,,7,, $-   ,R5-4-2
,Electrical,10250TC1N,,RED LENS,,4/24/2023,,3, Bad Part? , $-   ,R5-4-2
AB,Electrical,1734-IE2C,,,,4/24/2023,,2,$328 ,$655 ,R2-5-2
BUSSMANN,Electrical,PDBFS220,,"175A-600V,  IEC-60647-7-1",,12/18/2023,,2,$48 ,$97 ,R7-5-3
AB,Electrical,800H-QRH2R,,,,4/24/2023,,1,$85 ,$85 ,R2-5-2
AB,Electrical,1492-SPM1C040,,,,4/24/2023,,4,$31 ,$124 ,R2-5-2
AB,Electrical,140MT-D9V-C40,,,,4/24/2023,,2,$248 ,$496 ,R2-5-2
AB,Electrical,1489-M1C150,,,,4/24/2023,,1,$42 ,$42 ,R2-5-2
AB,Electrical,1489-M3C010,,,,4/24/2023,,1,$42 ,$42 ,R5-5-2
AB,Electrical,800H-FRXJTQH2RA5,,,,4/24/2023,,1,$98 ,$98 ,R5-5-2
AB,Electrical,1606-XLE240E,,POWER SUPPLY,,4/24/2023,,1,204.3,$204 ,R5-5-2
AB,Electrical,1734-OW2,,,,4/24/2023,,2,$113 ,$226 ,R2-5-2
AB,Electrical,CHCCIDIU,,600V,,4/24/2023,,1, Bad Part? , $-   ,R5-5-2
Goulds,Mechanical,10SV6GB30,Maybe?,PUMP,,5/2/2023,,1,, $-   ,Shop small rack
BUSSMANN,Electrical,PDBFS220,,Distribution blocks,,5/8/2023,,2,$52 ,$104 ,R2-5-1
AB,Electrical,1734-IB8,,,,5/9/2023,,1,$125 ,$125 ,R2-4-3
AB,Electrical,1783-US5T SER B,,,,5/9/2023,,2,$139 ,$277 ,R1-4-1
AB,Electrical,1489-M1C030 SER. D,,,,5/9/2023,,2,$42 ,$84 ,R5-3-1
AB,Electrical,1489-M1C010,,,,5/9/2023,,1,$42 ,$42 ,R5-3-1
AB,Electrical,1489-M1C005,,,,5/9/2023,,1,$42 ,$42 ,R5-3-1
BUSSMANN,Electrical,CHCC2DU CCP,,FUSE HOLDER,,5/9/2023,,1,$38 ,$38 ,R5-3-1
AB,Electrical,1492-PSG2-4,,"Allen-Bradley® Terminal Block, 250VAC/DC, 13.5A, 26-14 AWG, 3.50 in. L",,5/9/2023,,30,$9 ,$277 ,R5-3-1
BUSSMANN,Electrical,BUSS LP-CC-2,,,,5/9/2023,,2,, $-   ,R5-3-1
AB,Electrical,1769-PB4,,,,5/9/2023,,1,$500 ,$500 ,R5-2-1
AB,Electrical,1492-FB1J60-L,,,,5/9/2023,,1,$25 ,$25 ,R5-2-1
SMC,Electrical,EXP500-AP050-A,,CABLE,,5/9/2023,,1,, $-   ,R5-2-2
,Electrical,43-15238,,CABLE,,5/9/2023,,1, Bad Part? , $-   ,R5-2-2
AB,Electrical,1585J-M8TB-2,,CABLE,,5/9/2023,,4,$22 ,$87 ,R6-1-3
AB,Electrical,1585J-M8HBJM-4,,CABLE,,5/9/2023,,3,$43 ,$130 ,R6-1-3
AB,Electrical,1585J-MHB-2,,CABLE,,5/9/2023,,2, Bad Part? , $-   ,R6-1-3
AB,Electrical,1585J-M8PBJM-0M6,,CABLE,,5/9/2023,,1,$22 ,$22 ,R6-1-3
AB,Electrical,889D-F8AB-10,,CABLE,,5/9/2023,,1,$55 ,$55 ,R6-1-3
AB,Electrical,889D-F4AC-10,,CABLE,,5/9/2023,,1,$25 ,$25 ,R6-1-3
AB,Electrical,800H-QRT24R,,,,5/9/2023,,1,$90 ,$90 ,R6-4-3
AB,Electrical,1756-OF8I,,,,5/9/2023,,1,"$3,129 ","$3,129 ",R6-5-2
BUSSMANN,Electrical,LPJ-30SP,,,,6/8/2023,,3,$39 ,$117 ,R2-4-3
AB,Electrical,1756-IB16,,,,6/13/2023,,2,$427 ,$854 ,R6-5-1
AB,Electrical,1794-AENT,,,,6/13/2023,,2,"$1,100 ","$2,200 ",R6-2-3
AB,Electrical,1492-IFM20F,,,,6/13/2023,,1,$111 ,$111 ,R6-2-3
AB,Electrical,1734-OA4,,,,6/13/2023,,30,$188 ,"$5,651 ",R5-2-1
AB,Electrical,1734-IA4,,,,6/13/2023,,20,$148 ,"$2,957 ",R5-2-1
AB,Electrical,5069-OW16,,,,6/13/2023,,6,$698 ,"$4,186 ",R6-1-2
AB,Electrical,2080-LC50-24QWB,5000-1704,,,6/13/2023,,1,$524 ,$524 ,R5-3-2
AB,Electrical,1756-ENBT,,,,6/13/2023,,1, obSOLETE , $-   ,R5-3-2
AB,Electrical,5069-FPD,,,,6/13/2023,,2,$157 ,$313 ,R5-3-2
AB,Electrical,700S-CF440EJC,,,,6/13/2023,,2,$218 ,$436 ,R5-3-3
AB,Electrical,1734-IA4,,,,6/13/2023,,30,$148 ,"$4,436 ",R5-3-3
AB,Electrical,1606-XLE240E,,,,6/13/2023,,1,$274 ,$274 ,R5-3-3
AB,Electrical,5069-RTB64-SCREW,,,,6/13/2023,,1,$34 ,$34 ,R5-3-3
AB,Electrical,440R-S13R2,,,,11/8/2023,,1,$248 ,$248 ,R5-4-2
IFM,Electrical,EVC812,,Male Wirable Plug,,2/15/2024,,7,$19 ,$133 ,R5-2-2
OMRON,Electrical,H3CA-8,,RELAY,,6/13/2023,,1,, $-   ,R5-2-3
AB,Electrical,194R-PY,,,,6/13/2023,,1,$32 ,$32 ,R5-2-3
AB,Electrical,140MT-D9E-C16,,,,6/13/2023,,1,$163 ,$163 ,R5-2-3
AB,Electrical,1489-M1C010,,,,6/13/2023,,1,$42 ,$42 ,R5-2-3
AB,Electrical,800H-QRT24R,,,,6/13/2023,,1,$90 ,$90 ,R5-2-3
AB,Electrical,1494U-LA36,,,,11/8/2023,,2,3.34,$7 ,R5-4-2
AB,Electrical,1734-IE8C  SER C,,,,6/13/2023,,3,$989 ,"$2,967 ",R5-2-3
BUSSMANN,Electrical,CH60J1L,,FUSE HOLDER,,6/13/2023,,3, Bad Part? , $-   ,R5-2-3
BUSSMANN,Electrical,CHCC,,FUSE HOLDER,,6/13/2023,,1,$62 ,$62 ,R5-2-3
AB,Electrical,1769-OW16,,,,6/13/2023,,1,$442 ,$442 ,R5-2-3
AB,Electrical,1794-IE8,,,,6/13/2023,,1,"$1,020 ","$1,020 ",R5-2-3
AB,Electrical,PN-184856,,RUBBER  GASKETS (BAG),,6/13/2023,,1, Bad Part? , $-   ,R5-2-3
AB,Electrical,2080-LC50-24QBB,,,,6/13/2023,,1,$524 ,$524 ,R5-2-3
AB,Electrical,1734-OE4C   SER C,,,,6/29/2023,,2,$601 ,"$1,202 ",R3-2-1
SMC,Electrical,EX500-AP050-A,,Power Cable 5m,,6/29/2023,,4,, $-   ,R5-6-1
AB,Electrical,1734-OB8,,,,7/12/2023,,3,$606 ,"$1,819 ",R6-4-3
AB,Electrical,1747-AENTR,,,,7/12/2023,,1,"$2,450 ","$2,450 ",R6-4-3
Graybar,Electrical,ACP2x2ACUL,,,,7/18/2023,,1,, $-   ,Cubicle
Partlow,Electrical,95943882,95943882,RCDR CIP PARTLOW  note: all setup,,7/26/2023,,1, Bad Part? , $-   ,Cubicle
Enerquip,Mechanical,"CIP HEAT EXCHANGER 3""",,,,7/21/2023,,1,, $-   ,F&B Floor
Goulds,Mechanical,10SV6GG4F60  5HP,Maybe?,PUMP No-Washdown,,6/21/2023,,1,, $-   ,F&B Floor
,Electrical,52010285,,CABLE (4 WIRES) 90DEG,,8/28/2023,,10, Bad Part? , $-   ,R5-6-1
DFT,Mechanical,"1"" 750 CWP DFT SCV",,CHECK VALVE,,8/29/2023,,1, Bad Part? , $-   ,R6-5-1
AB,Electrical,1494U-FC100J,,,,8/29/2023,,1,$109 ,$109 ,R6-5-1
AB,Electrical,2080-LC50-24QWB,5000-1704,,,8/29/2023,,1,$524 ,$524 ,R6-6-2
EH,Electrical,FTL31-1FH9/0,,,,8/29/2023,,1,, $-   ,R6-6-2
AB,Electrical,1794 PS13,,POWER SUPPLY 24VDC,,8/29/2023,,1,$219 ,$219 ,R6-5-3
SMC,Electrical,SY30M-2-1SA-N7-NA,,,,8/29/2023,,4,, $-   ,R6-3-2
SMC,Electrical,SY50M-3-1A-C0-NA,,,,8/31/2023,,3,, $-   ,R3-6-1
IFM,Electrical,AL1940,,IO LINK,,8/31/2023,,2,$410 ,$821 ,R6-1-2
AB,Electrical,1489-M1C030 SER. D,,,,8/31/2023,,2,$42 ,$84 ,R3-3-2
AB,Electrical,1489-M1C010,,,,8/31/2023,,1,$42 ,$42 ,R3-3-2
IFM,Electrical,US0049,,ADAPTER,,8/31/2023,,4,$94 ,$375 ,R3-3-2
IFM,Electrical,TD2937,,,,8/31/2023,,1,$242 ,$242 ,R3-3-2
AB,Electrical,194R-SDK2,,KIT,,9/7/2023,,1,$104 ,$104 ,R5-7-1
AB,Electrical,1756-A13,,I/O RACK,,9/13/2023,,1,$881 ,$881 ,R2-6-1
SMC,Electrical,SY50M-1-1A-N11-NA,,,,9/13/2023,,2,, $-   ,R3-6-1
AB,Electrical,1756-PA75   SER B,,,,9/13/2023,,1,"$1,320 ","$1,320 ",R3-6-1
AB,Electrical,1734-TB3,,,,9/13/2023,,3,$33 ,$98 ,R2-3-1
AB,Electrical,1734-TBS,,,,9/13/2023,,5,$24 ,$122 ,R2-3-1
AB,Electrical,1694-PF1244,,,,9/13/2023,,1,$18 ,$18 ,R1-4-3
AB,Electrical,1734-OB8,,,,9/13/2023,,1,$606 ,$606 ,R6-4-3
WOLSELEY,Mechanical,1/2 PVC,,BALL CHECK VALVE,,9/13/2023,,5,, $-   ,R1-1-1
AB,Electrical,1756-LSC8XIB8I,,controllogix 8,,10/27/2023,,2,"$1,242 ","$2,485 ",R5-5-2
AB,Electrical,1940,,,,9/20/2023,,1,, $-   ,R4-3-3
AB,Electrical,1494U-J60-CR-PC-S,,Disconnect Switch,,9/21/2023,,4,$683 ,"$2,730 ",Cubicle
AB,Electrical,1494U-J30-CR-PC-S,,Disconnect Switch,,9/21/2023,,2,$644 ,"$1,287 ",Cubicle
AB,Electrical,1494U-J60-C3-PC-S,,Disconnect Switch,,9/21/2023,,1,$683 ,$683 ,Cubicle
Alfa Laval,Mechanical,9634097647,,LKH20M165S2EN21AAN-010A36WSP PUMPW/9634084643 STER. MTR,,9/21/2023,,2,"$4,417 ","$8,834 ",Pierce Warehouse
AB,Electrical,440R-S13R2,,,,10/17/2023,,1,$248 ,$248 ,R6-3-2
SMC,Electrical,KQG2U09-11,,,,10/17/2023,,7,, $-   ,R6-3-2
Alfa Laval,Mechanical,9613403954,,LINER BKS DN25 H3,46759,12/18/2023,,8,$26 ,$204 ,R1-1-2
AB,Electrical,1756-OB32,,,46759,12/28/2023,,1,$797 ,$797 ,R6-7-2
1045918    HOPE INDUSTRIAL SYSTEMS INC,Electrical,CDVI-06 - DVI-D,,"Dual Link M-M Cable, 1.8",,9/20/2022,,6,$10 ,$60 ,CR-C4-S4
1045104    HARTFIEL AUTOMATION INC,Electrical,DDAA-1BA - MAC 24VDC,,Coil,,9/20/2022,,10,13.1,$131 ,CR-C3-S4
IFM,Electrical,AL1920 - IO Link Master -CIP Skid,,AL1920 - IO Link Master -CIP Skid,,5/17/2023,,19,343.5,"$6,527 ",CR-C6-S5
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1068497    ENGLEWOOD ELECTRICAL SUPPLY,Electrical,"LP-CC-20 - DISCONNECT FUSE BUSSMANN, 20A",,"LP-CC-20 - DISCONNECT FUSE BUSSMANN, 20A",,9/20/2022,,6,10.87,$65 ,CR-C4-S4
1068497    ENGLEWOOD ELECTRICAL SUPPLY,Electrical,1585J-M8HB-2 - 2m ETHERNET CABLE 600V RA,,1585J-M8HB-2 - 2m ETHERNET CABLE 600V RA,,9/20/2022,,3,19.04,$57 ,CR-C4-S4
1068497    ENGLEWOOD ELECTRICAL SUPPLY,Electrical,"25B-D013N104 - Drive, PowerFlex 525, 380",,"25B-D013N104 - Drive, PowerFlex 525, 380",,9/20/2022,,3,"1,028.80","$3,086 ",CR-C4-S2
1068497    ENGLEWOOD ELECTRICAL SUPPLY,Electrical,"140M-D8E-C16 - Breaker, Motor Protection",,"140M-D8E-C16 - Breaker, Motor Protection",,9/20/2022,,3,146.61,$440 ,Still to be delivered
HOFFMAN,Electrical,A24P24G,5000-1557,Back Plate,,3/14/2023,,20,$46 ,$920 ,F&B SHOP
1068497    ENGLEWOOD ELECTRICAL SUPPLY,Electrical,"A24P24 - 21""x21"" BACK PANEL",8390-6034,"A24P24 - 21""x21"" BACK PANEL",,9/20/2022,,3,$46 ,$138 ,TBD-SHOP
1068497    ENGLEWOOD ELECTRICAL SUPPLY,Electrical,2080-LC50-24QWB - PLC CPU MICRO 850,5000-1704,2080-LC50-24QWB - PLC CPU MICRO 850,,9/20/2022,,3,440.07,"$1,320 ",CR-C4-S4
1068497    ENGLEWOOD ELECTRICAL SUPPLY,Electrical,2080-IF4 - PLC AI 4 CH.,5000-1705,2080-IF4 - PLC AI 4 CH.,,1/30/2024,,6,154.82,$929 ,R5-2-3
1068497    ENGLEWOOD ELECTRICAL SUPPLY,Electrical,2711R-T7T,8985-3222,"HMI 7"" PANELVIEW",,1/30/2024,,1,611.02,$611 ,CR-C4-S2
1068497    ENGLEWOOD ELECTRICAL SUPPLY,Electrical,"1585J-M8CBJM-1 - ETHERNET CABLE 1m, AB#1",,"1585J-M8CBJM-1 - ETHERNET CABLE 1m, AB#1",,9/20/2022,,6,22.17,$133 ,CR-C4-S4
1068497    ENGLEWOOD ELECTRICAL SUPPLY,Electrical,"800H-QRT24R - PILOT LIGHT, AB# 800H-QRT2",,"800H-QRT24R - PILOT LIGHT, AB# 800H-QRT2",,9/20/2022,,4,80.53,$322 ,CR-C3-S5
1068497    ENGLEWOOD ELECTRICAL SUPPLY,Electrical,UUMH2 - HOFF UUMH2 MTG HARDWARE (10) SCR,,UUMH2 - HOFF UUMH2 MTG HARDWARE (10) SCR,,9/20/2022,,6,26,$156 ,CR-C4-S4
AB,,25B-D024N104,,15HP POWERFLEX 525 DRIVE,,9/22/2022,,3,"1,754.00","$5,262 ",CR-C3-S1
AB,,1794-IB16,,,,10/19/2023,,1,$322 ,$322 ,R6-4-2
AB,,1794-IE8,,,,10/19/2023,,2,"$1,020 ","$2,041 ",R6-4-2
AB,,1734-TOP SER A,,,,10/17/2022,,93,18.67,"$1,736 ",CR-C3-S4
AB,,20F11ND022JA0NNNNN,,AC DRIVE INPUT 480VAC 22(14) OUTPUT 15HP(10HP),BURNS&MACC,12/19/2022,,1,"$2,669 ","$2,669 ",CR-C5-S2
AB,,1756-A10,,,,12/19/2022,,1,$726 ,$726 ,CR-C5-S2
AB,,1494U-PC2,,,,12/19/2022,,1,$102 ,$102 ,CR-C5-S2
AB,,1494U-PC1,,,,12/19/2022,,1,80.56,$81 ,CR-C5-S2
BURKERT,Electrical,565159,,PANEL VIEW IP-20,,12/19/2022,,1,, $-   ,CR-C5-S2
AB,,1494U-D60,,,,12/19/2022,,1,$296 ,$296 ,CR-C5-S2
AB,,1494U-D100,,,,12/19/2022,,1,$447 ,$447 ,CR-C5-S2
AB,,1756-PB72,,,,12/19/2022,,1,"$1,072 ","$1,072 ",CR-C5-S2
HUBBELL,Electrical,HBLDS3SSR,,"Circuit-Lock Switch, Enclosed Disconnect; 600V AC; 3 Pole; 5 Wire; 30A",,12/19/2022,,1,"$1,015 ","$1,015 ",CR-C5-S2
AB,,20AD014A0AYNANNN,,20A,,12/21/2022,,1, Bad Part? , $-   ,CR-C5-S1
AB,,1756-A17,,,,12/21/2022,,1,"$1,025 ","$1,025 ",CR-C5-S1
AB,,1494V-RA4,,,,12/21/2022,,1,$54 ,$54 ,CR-C5-S1
AB,,1494-DS30,,,,12/21/2022,,1, Bad Part? , $-   ,CR-C5-S1
AB,,1497A-A9-M7-3-N,,CONTROL TRANSFORMER,,12/22/2022,,1,$336 ,$336 ,CR-C5-S4
AB,,1494U-J60-C3-PC-S,,,,1/19/2023,,1,$683 ,$683 ,CR-C6-S1
AB,,25B-D010N104,,,,3/13/2023,,2,"$1,380 ","$2,760 ",CR-C4-S4
AB,,25B-D010N114,,,,3/13/2023,,1,"$1,380 ","$1,380 ",CR-C4-S4
AB,,5094-AENTRXT,,,,8/9/2023,,2,"$1,021 ","$2,043 ",CR-C4-S4
AB,,194R-SDK2,,,,8/9/2023,,2,$104 ,$207 ,CR-C4-S6
IFM,Electrical,AL1940,,,,8/9/2023,,10,$410 ,"$4,104 ",CR-C4-S6
AB,,1794-OW8,,,,10/19/2023,,1,$370 ,$370 ,R6-4-2
Goulds,Mechanical,11B0000803,8-digit,BLADER TANK PRO 2.1 GALL 3/4 NPT 150PSI P36PSI,,4/26/2023,,2,, $-   ,CR-C6-S6
AB,,2711P-T10C21D8S,,PANELVIEW PLUS 7,,9/11/2023,,1,"$2,874 ","$2,874 ",CR-C4-S2
AB,,194R-SDK2,,,,11/1/2023,,1,$104 ,$104 ,R6-7-1
AB,,1585-M8CBJM-1,,,,11/1/2023,,2, Bad Part? , $-   ,R7-1-1
